id,summary
13611585,"Greg recommended Agnes a place to stay in Herceg Novi. Greg went to Bosnia, Croatia and Montenegro last summer. Agnes is planning to travel with her husband, two kids and a dog."
13611591,Linda's parents are leaving to San Francisco.
13611599,April came to help Kim organize things in her new place. Kim will get her schedule from school tomorrow and she hopes it won't be exhausting. Kim is supposed to get her schedule from school tomorrow.
13611618,"Cindy has shared some spoilers from the movie with Emma. Emma will let Bryce know by Wednesday whether they will meet on Friday. Bryce saw ""Infinity Wars"" last week."
13611624,Many people in Brazil voted for a neofascist.
13611629,Kevin wants to improve his driving skills so he is taking lessons. Henry found a room half the usual price for 400 euros but it doesn't seem to be good enough.
13611631,Paula added a chart and deleted a graph - both at Michael's request. Paula's presentation is almost done and will be ready within the next 10 minutes. Paula and Michael will meet in the conference room.
13611653,"Freda and Sarah don't know what to wear to the party, but they both agree they like dressing up."
13611658-1,"James had problems with washing machine. Sue instructed him to turn on the switch in the fuse box, but it didn't solve the problem so she called the electritian."
13611659,Tracy wants to go to her hometown on Saturday at 9.30 am. Tracy needs to go to Warsaw Sunday at 9.30 am as she has a trial in a theatre at 11 am. Tracy will book a table for tonight at 9 pm.
13611660,"Emma made weed muffins and wants her sister, Sharon, to come over. Emma is coming tomorrow to play with Sharon's kids. Emma is going out with her sister shortly."
13611672,"Cassandra, his teacher told him which exercises to do, and which chapter to study."
13611697,Mr Sarkar reckons her credentials look good and offers her the job. She's got the morning shift.
13611705,"Ella has a nasty stomach bug, she is in pain."
13611713,Jane and George's mother fell and had a bad sprain trying to catch herself. George hasn't seen mum long due to expensive plane tickets. Jane and George are going swimming.
13611715,Melissa can come over tonight and they can spend part of tomorrow together. Peter has bought a bottle a of primitivo for tomorrow.
13611718,Justin and Katie are going out this week. Justin and Katie are going grocery shopping tomorrow evening. Melissa can come over tonight and they can spend part of tomorrow together.
13611746,Amy is panicked about a positive result from the pregnancy test. Amy found a private clinic online and considers an abortion pill from them.
13611754,"Ruth and Sammy are meeting Linda for dinner on Friday 12th at her place. Sammy eats neither red meat nor duck, so Linda will have to cook something else. They have a wedding on Saturday."
13611755,Jacob and Alex aren't sure what to do for their project. She was working her stress off in the class. Ms. White doesn't explain things clearly.
13611761,"Susan and Martin are meeting on Thursday at one for lunch at a vegan restaurant Edamame as Susan's gluten intolerant, allergic to spicy food and a vegetarian. Martin is suggesting Susan different locations where they can meet up on Friday at 1pm."
13611763,Walter talks with Donna about last night. Walter wants to meet Donna today.
13611765,Brandon and Sheila want to see New Queen movie. Tori went for a date. Brandon will ask Kayla and Brent to join them.
13611805,Karen suggests to Avi that they play a story-telling game and they make up they story.
13611806,Thomas wants Pete to send him the file by bluetooth but Thomas doesn’t know whether his laptop has bluetooth connectivity. Pete is going to send a big video file to his laptop and then copy it to Thomas's laptop. They finally agree that Pete's going to use google drive to share the file with Thomas.
13611837,Matilde and Marco designed the interiors themselves. Agnes is about to buy a flat and get the keys to it in a few months.
13611853,Carmen agrees to go this week except for tomorrow. Carmen is going to university and then to work tomorrow.
13611886,Rob is setting a 0333 number to redirect calls to Ann's new sim card. Ann and Rob are discussing ideas related to redirecting phone calls to a company phone.
13611892,Anna is angry as Tom hasn't changed Stevie's diaper for the whole day. Lisa thinks Anna should talk to Tom about his general attitude. Lisa suggests leaving Stevie with Anna's sister.
13611894,"Both Mary and Paul were in Cracow last week but didn't meet. Paul stayed at the Swing hostel, far from the centre, but he travelled cheap by Uber. Mary stayed at a hostel near the centre."
13611913-1,Cooper came up with new ideas for songs during weekend. Cooper and Stan can't wait to play in their first gig. Cooper's written 2 new songs and wants to realize them in the prog rock syle. Stan offered to take Cooper to a Disperse concert in 2 weeks.
13611922,Rick and Diddy want to go the baseball game today against New York. Rick has a cap but Diddy's shirt is dirty.
13611931,Jane and George are going swimming. Sandra is going to the swimming pool and having a hot cup of tea afterwards. George looked through Jane's messages.
13611972,Agnes is bored and has nothing planned today.
13611981,"Nina and Max have lots of plans for tonight, so they think of skipping the visit at Nina's parents even though Max promised Nina's dad some help with the computer. Max will leave Nina at Monica’s, so she can get her nails done and he will go help Dan move by himself. Max is helping Dan with his move at 7."
13611992,"Nancy doesn't want to bring Carlos for her uncle's birthday, because uncle Tom wouldn't appreciate Nancy and Carlos being together. Even though Nancy believes it's all about fun, she claims to love Carlos."
13612018,Lilly got herself a kitten although she is allergic to cats. There was a cat and a dog there. The cat is 2 months old.
13612020,"They will meet at 8pm at Louis's place, because there is a lot of parking space."
13612022,Agnes has bday today and she usually does nice things for herself to celebrate. Marisol will talk to Agnes about  Kate's new boyfriend.
13612033,Sam is Leah's former college student.
13612036,He doesn't know whether he should go to college or find a job. Pauline learned a lot either way.
13612039,Emily is going to Ray's birthday party next Saturday. She will prepare mixed salad and bring beers to the party at 6 after her yoga class.
13612055,Bill gives her details on the cheap apartment.
13612060,"Emma's son, Charlie, has lice again. Emma needs to wash all Charlie's belongings, couches and car seats. Holly and her husband will help Emma tonight."
13612077,Ben will call Roger to talk about their holiday later. Roger sells cars and business is doing great. Roger asks Ben about his plans for this year's holiday and they agree to go to Ibiza together. Roger sells cars and the business is thriving.
13612084,"She stays in a cheap apartment, but the landlord needs the flat for his son, who comes back from another country. Karolina has started a new year at college. She studies in Stanford, the same place as Jack's sister, who may have a room for rent."
13612092,"Harry tells Sally she has the prettiest eyes he has ever seen. Harry asks Sally to merry him. They recollect their journey to Venice, a gondola ride on the Grand Canal, a policeman and ice cream in a little street."
13612093,Sherif wants Aneta to translate an English website into Polish.
13612101,"Kira was sick, so she couldn't see Toby jumping out the window. Kira finds Toby hot, but Maddie prefers Zane. Anyway, Kira and Maddie will try to seduce Zane and Toby next Friday."
13612111,Sue did some supply teaching work last week in Swansea and has an interview next week in a new school in Port Talbot. Paul will be spending this weekend at his girlfriend's.
13612112,Sidney is seeing Rodger to grab Mexican food in 10 minutes.
13612116,Jackson told Paige that Hailey cheated on Zach with his best friend.
13612119,"Nina should call him in the evening, after his gym activity. Carmen's exam was good, but she forgets dates."
13612123,Diane had fun on Saturday. Diane complains that maintenance of the pool is expensive. Larry is looking for a house with a pool.
13612124,Jack is trying to bake a cake for Peg's birthday tomorrow and is not sure what a cup means.
13612127,Cynthia saw Carlos and Richard making out. Cynthia's friend Alice is seeing Carlos so she needs help.
13612133,Steve is bored at work. Mathew's favorite movie is Passengers and Steve's is Kill Bill.
13612150,Lucy wants to buy Hannah's rollerblades for her niece. Lucy is worried about the scratches and insists on Hannah to lower the price.
13612191,Caleb will visit Zoe today at 4pm.
13612202,Laura won't talk to Eric when he's like that.
13612208,"Jen's husband is away for this weekend, so Geri and Jen are going to meet up."
13612211,Jay got a new computer yesterday. Jay and Gary will play Overwatch.
13612225,Carly suggests that they should go together for a cruise holiday. Andy and Carly arranged a meeting on  Friday to discuss their holiday.
13612236,"The girls' meeting was spontaneous, so Bunny didn't have time to tell Mark about it."
13612237,Dora thanks Thekla and Ulrich for an evening.
13612241,"Tatiana hasn't finished the required trainings due tomorrow, so she'll have to cancel her plans of spending some time with her mom."
13612250,"Tina was in the country, Meg was supposed to go to a wedding that was cancelled only 1.5 weeks in advance."
13612253,Angella and Taby used to write letters to each other and now they message twice a year. Taby will stay at her granny's but may stay over at Angella's for one day. Taby is planning vacation in her hometown this summer.
13612256,"Kate cannot work properly, because paper got jammed in the printer. Andy can't help Kate right now, because he is busy in the server room."
13612258,Rod is seeing Cleo at Tim Horton's at 3 to discuss it. Cleo claims he'll earn enough at her place.
13612259,Kate and Caro are meeting for lunch in Rack and Pinion on Wednesday at 2:30pm. Caro will book them a table in the lounge bar.
13612279,Sue was expecting Aj at her place this morning. Aj promises to come to Sue in an hour and to bring a cake.
13612281,Tommy is drinking with some old friends today. Miranda works all the time even on weekends.
13612292,He's taking a day off tomorrow as well.
13612311,Jack proposed to Lorrie during their stay at Niagara Falls last night.
13612316,"Cathy is having her hair cut today, she wants a change and taking care of her long hair is difficult. Martha wants a change too and she's considering going blonde."
13612321,"She's first visiting a friend there and then going to Washington, D.C. Sophie is going to either Cuba or Palma for her summer vacation. Julie is going to visit New York City next week."
13612326,Brad and Claire are going on vacation to Spain or Italy.
13612335,"Mila bought a new laptop for $1650 as in her previous one the keypad died. Mila's new laptop has the 8th generation processor (i7), 16gb RAM, 120gb SSD, 1t HDD and the graphics card is geforce 1060."
13680109,"Ian has asked Maria to marry him to preserve his rights in Italy after Brexit as this is the least complicated option for him. Ian is upset with Maria. Maria was born in Romania and doesn't feel genuinely Italian. Maria is still in Italy but finds the general situation with growing racism, frustration, xenophobia worrying."
13680113,"Sean is going shopping and will buy a couple of things for Richard's barbecue. Next month however, at Marty's party, Sean will drink and won't be the driver."
13680115,The skin on Mona's hands is very dry. Jen advises Mona to drink more water as her dry skin might be due to dehydration.
13680118,Natalia doesn't feel like going to the pub today.
13680133,"She's certain that even there she would take her usual set of useful everyday items, that she took to France."
13680144,They discuss Debby's outfit for the wedding. Maggie offers to lend Debby one of her bags. Debby is going to a wedding with a friend next Saturday.
13680182,George has seen a movie that he enjoyed very much and describes his impressions.
13680187,Rachel Kavanagh attends acting classes during the week.
13680222,"Trey gave Emilia a photo and promised to give her another one later, but didn't do it yet. Emilia is editing a manual at work right now. Trey is coming back from a job interview."
13680235,"Both Brad and Angie can't leave early today, but Angie will try and pick up the kinds before the kindergarten closes. Angie and Brad are going to order sushi for dinner. Brad's mum can't pick up the kids."
13680260,Matt hasn't bought the turkey yet as he might get one at work for free in the next couple of days. Matt will probably be home at the usual time.Sadie and Matt are having grilled cheese soup later.
13680275,Linda and Bill are going to the Amish store on Wednesday. Bill will get noodles for Barbara to cheer her up. Barbara is depressed at this time of the year and she will lose her job right after Christmas. Barbara will go to school to learn programming.
13680284,Tessy is going to Cuba for 5 weeks.
13680290,"Mary and Will discuss the party last night; they talk about the fact that there were many people, they were drinking vodka, singing karaoke, smoking and it was extremely noisy."
13680291,Ryan is not happy with his job today.
13680292,"Her brother, Andy, is afraid she damaged something inside her body and tells her to watch it."
13680308,Will and Jane want to meet on Saturday to work on a project that is due next Friday. Will can't get in touch with Sam as he has deleted his Facebook profile.
13680337,"Kate, Chris and John will see Pinocchio at the theater on Saturday. Chris and Kate will pick John up earlier from his drum lesson to make it to the play. Chris thinks the play will be too childish for John."
13680348,Sean is annoyed with Brexit. Sean has many clients from the Republic and is worried about how the new border will affect his shop. The Brexit agreement is on the way.
13680359,Lilly and Jared wonder if the similarity has been done on purpose.
13680364,Donnie goes to Warsaw for several days.
13680373,Zoe was not able to make it to her first date with Ben because she had an important meeting.
13680376,The dean had a heart attack and died. Adam and Frank are attending the funeral on Sunday. Frank and Adam both want to attend the dean's funeral on Sunday. The dean died yesterday due to heart attack while walking home from the university.
13680394,"Bruno, Kate, Caren and Tom are going on a sailing trip. Bruno and Kate want to go on a sailing trip. Kate will ask Tom about the estimated cost of the trip."
13680427,Jack and Luke watched the political debate yesterday and consider it ridiculous. Jack is considering stopping watching the debates.
13680455,Linda has to vacate her apartment in 3 months. Clementine got a notice from the landlord - she needs to leave the apartment next month.
13680458,Donnie spent a lot of money this month and his dad was robbed in Paris.
13680485,Alexis believes Blake is self-centered and often attacks her and accuses her of things she didn't do.
13680505,"Veronica bought a new phone last year, but wants to buy the new iPhone."
13680507,Dominic sends Laura a link to a folder with retouched photos from their trip to Croatia. Laura is downloading the folder as her internet connection is unstable due to bad weather. Dominic's and Laura's parents say they spend too much time at the computer.
13680513,Steve will take Nick's stuff from his room.
13680515,"Ewan tells Isabel he will be late for the party, because his car broke down. She gives him a number to a cab service she likes."
13680516,"Bo made some friends at the LARP, but a group of players was behaving badly."
13680548,Gill has missed the lectures today because he has the stomach flu.
13680577,Amy will organize a birthday party for Ann in her garden. Samuel will check Beach House's tour in order to buy Ann a concert ticket together with a flight ticket as a birthday present.
13680578,She's going to meet with Katie this weekend.
13680615,Isla wants to know if the names of public figures have an influence on the names people choose for their children. Isla is conducting research on most popular names in the UK in the last 30 years. Harry was born in 1985. Harry refuses to explain why his parents gave him this name.
13680633,"Ewan tells Isabel he will be late for the party, because his car broke down."
13680641,Brett sends Ilya the agenda for today.
13680642,S's dad is taking him to Spain at Christmas. The people at her work are helpful.
13680655,George sold his Honda and saved a little for the down payment for the Harley.
13680658,Paul asked Alan for help in finding excel file with the annual budget that Phil needs for his presentation. Alan helped Paul to find the file.
13680661,Paul has asked Lana to move in with him. Lana and Paul have been dating for half a year and now it is serious.
13680665,Mark's friend is a photographer and wants Ava's cats to have a photo session.
13680675,"Lawrence will visit Papa tonight after jogging before seven, Papa will prepare something to eat. Papa will meet with Lawrence, Anna and Pat on Sunday for a brunch in Schlosscafe around 12. Papa's leaving on Wednesday, so he'll go with Lawrence and Pat for a brunch at Schlosscafe at 12 on Sunday."
13680688,"Rob doesn't want a Christmas banner on the main page, but according to Caron, he will talk different next year when he has a baby."
13680700,Patrik invites Cindy to come over to his flat and watch the oscars.
13680704,Chris didn't contact Joe for 2 months after he came back.
13680705,"Estrella is going to try and get a job in Lisbon for 2 months commencing late June or July. If Estrella does not get a job, she will come to Portugal anyway and stay in Sintra for 2 weeks then head to Faro."
13680714,Leslie and Laura are throwing a baby shower for Tiffy probably at April 21st at Laura's place. Agnes wants to throw a baby shower for Ursula and suggests designer clothes as a gift.
13680728,"Jim will know before the weekend if he can come before Christmas or on the 26th or later. If he travels before Christmas or on the 24th of December, Eva can pick him up from the airport. Jim is going to come to Poland on the 26th of December or later. Eva does not have to explain anything to the parents."
13680752,Mike and Charles complain about the government and understand young people that leave the country for work. Mike is starting a new job.
13680758,"Kit wants Sam to watch the last episode of the Game of Thrones, but he is behind because of his girlfriend, Katie."
13680759,Alan wants to start a business connected with fruit sushi and predicts big profit.
13680763,"John wants Noah to go with them, because it will be cheaper. James and John want to buy a car and travel across the US."
13680788,Mandy wore it this weekend during the wedding. She will attend a wedding this weekend. He's spending this weekend in London with some friends.
13680793,They are going to talk about it tonight. Nathan is coming over tonight.
13680796-1,Robin is mad at Seth because his work colleague was flirting with him. Robin had an argument with a female colleague at work.
13680807,George and Lucy want to buy a dashboard camera for Lennie's birthday.
13680811,School scheduled midterms for the second week of January. Dan attended the PTA meeting this week.
13680824,Tina's frustrated as his mother tampers with their private affairs. Tina wants to go on a weekend road trip to Prague with him but his mother suggests that it'd be better for them to go by plane.
13680852,Isla has a problem with work.
13680853,Steve suggests that time will show what kind of boss the manager really is. Craig had good time at the party yesterday.
13680860,"Martha is nervous because she does not know what to wear to the theatre. On the same day, they also need to clean and in the evening they are going to the theatre."
13680868,He's taking a day off tomorrow as well.
13680872,Josh and Janice are going to the cinema on Saturday to see a horror movie.
13680886-1,Patricia will come over and listen to Joanne play the piano. Agnes has bday today and she usually does nice things for herself to celebrate.
13680904,"Millie has to drive a lot during Christmas, while Tammy stays in the city."
13680907-1,"Bran asked his boss for some free days, but he hasn't got any answer yet. Joe is going shopping tomorrow."
13680908,"Gina offered Rob a loan for his knee surgery, as the private one costs 5000."
13680918,"Diana and Tom went for a trip to Italy. They went also to Arezzo and Siena, but what she liked most were the little villages. Diana and Tom will come to Margaret for dinner on Monday."
13680931,Victoria suggests having sex with Jacob.
13680932,Ethan suggests Oscar not pursue a long-distance relationship with a female who lives in Manchester. Referred girl is interested and will speak with Oscar on her own.
13680951,Phil will teach her at 7 on Thursday.
13680975,She will change her seat on the train because a lady sitting next to her is speaking about her sexual life. Isabella likes to observe people around her as entertainment. He is annoyed by other people taking his seat.
13681006,Laura just moved and Angela wants her to meet with her Italian friend in York.
13681017,Jarod and Brandi want to go to the gym together.
13681034,The lawyer is called Zimmerman. Steve will give David a divorce lawyer's telephone number. Zimmerman is needed for Becka's divorce.
13681042,Tom wants to borrow Alan's car but Alan needs to ask Sally first.
13681052,There is one girl that Liliana can't talk with. There was a one-point difference between Vikki and the girl immediately behind her in the score.
13681060-1,The lead singer is Abby's former schoolmate.
13681066,"Paula will pick up Chris with her car. Paula, Chris and Laurie will go to the Museum of chocholate on Sunday. Laurie is visiting for the weekend."
13681080,The extensive media presence of the immigrant caravan travelling to the US might be politically motivated. Paul will go when he has the time and he will let Olive know how it went.
13681125,There is a storm and Karl and Skye's office is experiencing a power outage. Now Karl is following the official instructions to shut down the servers in order to prevent their damage. Karl is in the office and he's already filed a report to the power company.
13681128,Sounding is a BDSM/kink practice involving shoving things into a penis.
13681150,"Bea's son, Bastien, was invited for LG's birthday and he had a lot of fun. Oscar arranged the dinner and movie evening with Charlotte's mum tomorrow."
13681168,"Chris will cover for her, but only until noon, because he gas a dentist appointment. There is a new person starting this day and Chris should ask them to fill out the paperwork. Brenda's car is broken."
13681184,Louis' and Kelly's homework for tomorrow is Maths pages 3 and 4 and writing an essay about their hobbys in English. She's writing a 150-word-long essay on her hobby - singing. Kelly has maths and English homework for tomorrow.
13681197,Anna and Luca will meet for coffee at Blueberries in Oxford Street at 4 pm.
13681198,Diana really needs Susan to join her at a meeting where Diana's ex is going to be with his new wife. Diana will help him and his wife organize the transactions.
13681201,Zack's guitar is broken.
13681202,"His radiation therapy isn't working, and Aly's mom is not able to cope with it. Kat is going to pray for Aly's family tonight."
13681217,"Tom's going to visit Konrad. Konrad reveals to Tom that he and his 2 brothers are 16, they all like volleyball and computer games. Konrad also likes learning foreign languages and dancing. Tom is 17, likes listening to music, chatting on Snapchat and playing computer games."
13681223,Larry and Sally's kid has been behaving strangely.
13681224,James is preparing a soup for Julie. She chooses soup but the soup place is already closed. Julie is meeting James at his place at 5 pm on Monday.
13681247,"He's thinking about going to Poland and seeing some villages, forests, mountains, etc."
13681271,There is a puppy at the property and Smith wants Kowalsky to notify the authorities about it.
13681286,Magda and Piotr are discussing a march in Poland.
13681313,Greg and Sophie broke up in a dramatic way in front of their co-workers. Now Greg wants to split a 180-dollar bill for a dinner they ate together. He wants to meet at the same restaurant and get his money in cash.
13681323,Bill has sent Wendy a digital copy of the catalogue. Bill will bring Wendy the hard copy of the catalogue. Wendy is going out today.
13681341,Luke will visit Andy to play the new Assassin's Creed. Luke is surprised to be so bad at the new game.
13681370,"Jim is interested but would like more details before the meeting. Jim has got a cold from his kids. He cancelled the meeting, goes home and will be on email."
13681381,Ellen and Jim are expecting a baby. Jim is in the Old Town and has had some mulled wine there. Ellen will not join him for a walk because she vomited last night and prefers to stay in bed.
13681390,Mom will not make dinner. Vicky was criticized by her mother during family dinner today even though Vicky's father supported her decisions. She is not going to pay for the pizza because she does not have her own money.
13681394-1,Caron and Rob will train the charity's volunteer drivers. The charity will pay for the courses and it will attract more volunteers for the charity.
13681396,Dorothea and Lisa are having a party tomorrow. There are 35 people on the guest list Lisa made.
13681397,Steve ordered 3 pairs of XL trousers in 3 different colors. Steve chose the cheapest door-to-door delivery and filled in the form on Andre's request. Steve will receive the delivery within 7 days.
13681410,Factory bathrooms must be used till construction work is finished.
13681426,Jane helps Will find a place for the Christmas party that would satisfy his demanding boss.
13681438,Sid upset Renata in that meeting. Sid does not care if Renata is offended or if she decides to leave the team.
13681467,Marie doesn't like him because his smile is weird. Tawny claims that Marie's behaviour is stupid.
13681513,"Phoebe can't afford to make a donation this time, so she won't pick up the phone."
13681514,Lilyana shows him how to make candles out of oranges.
13681517,"Doris is hiking in France and ejoying the freedoms of travelling in Europe, whereas Tress is home in ZA."
13681527,Cathy and Feyi are going to attend a dinner.
13681539,"John's supervisor postponed the meeting again, which made him angry."
13681553,Patrick finds her sexually attractive and intends to flirt with her.
13681561,Ann goes to new yoga classes. Ann will lend her a mat as she has two.
13681564,Now they are going to work on an art project and they hope Maria will join them.
13681568,"Sarah and Larry like to watch ""The Chase"". Larry and Sarah are impatient to watch it."
13681587,Ken and Ang watch old TV shows; they like some of it and dislike some old-fashioned episodes.
13681590,Dan saw the doctor because he suspected cancer and his mother died of it.
13681600,"Noel hates cyclists because they blocked the road in the city centre. Noel's meeting with a client had to be canceled, because both of them are stuck in traffic."
13681624,Monica made out with Ross at an office party two months ago.
13681630,"William has a job offer for Benjamin, but Benjamin found a job that is closer to his place."
13681666,Frannie and Jim are worrying about their exam tomorrow.
13681683,Ramesh cannot visit Melissa tonight. Melissa can come over tonight and they can spend part of tomorrow together.
13681730,Tomorrow he is cleaning the apartment and afterwards they are going to the restaurant to have a lesson at 4 and meet that bartender at 6.
13681732,"Austin doesn't like potatoes, except for potato pancakes. Gina likes spring potatoes."
13681735,Filip wants that Alienor translates for him a manual of a device manufactured by his father from English to French.
13681737,Peter and Gabe want to go to The Rolling Stones' concert on June 6th. Peter's cousin works at the ticket master but he cannot help them with getting the tickets.
13681738,"Mona will contact her best friend, who lives in Berlin, asking for a room to rent. Her friend is moving out of a room in December and Sammie could potentially take it. Sammie is running out of money and she wants to move to Berlin for work."
13681744,"They decided to spend three days Zagreb, one day the national park, then five days somewhere at the seacoast. Taby will stay at her granny's but may stay over at Angella's for one day."
13681758,"As birthday present for Alice, Oliver and Sidney are going to take her to the impressionist exhibition then grab a coffee together."
13681759,Eva and Hannah will go to Greece for holiday. Hannah has been to Spain.
13681772,Mia will be at the hospital with Pa when he gets his results. Jake will cook a meal on Thrursday or Friday for Mia and Pa. Jake's flight was postponed by 24 hours.
13681779,"Peter don't have any gift for her, even if she gave him one for his birthday. Peter is going to get something for her. Hank will ask Peter if he's interested."
13681784,Melanie is preparing Green Tomato Apple Chutney following the BBCFood link Tracy send her.
13681800,"It's Tom's first trip and he's nervous. Tom has no allergies and he would like something casual for dinner, like chicken, potatoes and salad. They will rent a hall and play volleyball, so Tom should take some sports clothes."
13681819,Cadence is talkative and won't let Lane sleep.
13681833,John is going to write a song. Paul suggested writing a song about world peace.
13681834,"Paul and Gina are going to Corsica by ferry. She will barricade the door, bring wine and wait till Paul will come over. They are excited about the wineries there."
13681849,Jacob is in class and needs Elisabeth to explain the difference between Backa and Banat.
13681861,"Allie is back and she is going to invite Will, Jenny and Fred to show them the pictures she took while away."
13681869,Harry is bored. Harry will be there in 2 minutes.
13681890-1,"Angela moved to California, because her mom got a job there. Jack has his last PhD exam tomorrow. Angela is going to Canada for working holiday for a few days."
13681893,"Greg is on vacation, but the packet with the pain points sheet for the new ERP system will be sent in today's interoffice. They are her last client today."
13681930,Anna will leave the key for Jack tomorrow.
13681932,Izzy and Heather and their kids are going to an amusement park today.
13681947,The teacher will give the topics before the winter break. They have to write 11 pages paper for Business Ethics but there will be no exam. The deadline is in January.
13681954,Melissa can come over tonight and they can spend part of tomorrow together.
13681958,Chris agrees to lend Tim his speakers. Tim's planning to throw a party while his parents are away. Tim's parents are going to Spain for 2 weeks and want Tim to take care of the house.
13681959,Lucas and Mason are critical of Blizzard Entertainment. They find the new Diablo game for phones ridiculous.
13681965,"Celeste and Ryland talk about guys and Ryland thinks that Celeste can easily have a guy and that there's one around her while Celeste believes that she's looking, but there's noone there."
13681970-1,Beth and Jade might skip the class tomorrow as they didn't do the homework.
13681975,Aga is probably giving birth this Sunday. Peggie's daughter gave birth to twins in March and her son moved to Derry.
13681980,They'll practice today at 6 in the rehearsal space of Lemonwood Rd.
13681999,Dorothy and Caroline are gossiping about George and Jane splitting up. George looked through Jane's messages.
13682011,"Mike wants to give his car to his parents and lease a new Toyota. Bruce advices him not to rush with the decision, visit a few places and check his credit score."
13682030,"Tim will focus on the modern definiton, including stuff from Dawkins' book, and why it matters to the humanity. Tim and Samantha are making a presentation on natural selection. Samantha will focus on the history of the concept and the evidence."
13682036,Anna made fun of Steph in maths.
13682038,Lana and Travis are talking about his trip to Greece and Albania.
13682050,They will check the video footage to confirm the problem. Muriel and Hilary haven't had contact for a few years.
13682063,Austen is going to borrow the Honda from Maureen for a time. Maureen will prepare the turkey and Austen will bring salads and cake. Austen and Maureen are going to have a Thanksgiving dinner together on the 1st of December.
13682076-1,Caron wants Jenny Morris Sharpei to take care of luna when Caron is on a cruise.
13682095,"Helen is interested in swimming lessons at Celtic Leisure for her daughter Caitlin. Andy, a swimming coach, looks for a course for Caitlin."
13682099,Judy will pick Sara up for church at 9:30.
13682112,Nick is considering moving from Florida to Chicago if he gets a transfer at his company.
13682114,"Ben visited Thailand, and he was working remotely during that time. Ben is going to stay at Mark's place for the next two weeks. Tomorrow, Ben and Mark are going to watch a game on Mark's new TV."
13682127-1,Fred is going to have a baby and he can't wait for it.
13682139,Sam will borrow Guy the Witcher books.
13682164,Mitch is working at home. Jean will consult her vet.
13682166,"Jennifer and Brad are going to stay in Maldives for one month. They are also thinking of visiting Laos. Jennifer will be home after 6.30, so Brad is going to cook something."
13682174,Nicky and Betty are meeting tomorrow at Zach's the same time as before. Melissa can come over tonight and they can spend part of tomorrow together.
